"pagos","gratis","carga.paga","carga.gratis","correio"
22678,322,1249412,3718,27588
4890,16,189497,620,0
1911,5,59771,0,0
1072,6,13708,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6115,217,110135,1266,155
7182,193,146752,4780,235
6228,228,254055,727,0
6034,93,119180,2986,3
7451,224,402517,0,2348
4993,205,111608,765,32
5586,296,142531,698,0
3824,160,201911,948,0
4514,102,167140,15467,0
4955,239,468087,0,2585
5229,353,153011,185,0
7033,510,263576,1201,0
4913,406,222843,0,0
5735,120,197110,2037,363
6294,263,474314,0,2062
5456,215,278796,424,0
7474,261,297009,859,475
5056,308,201188,1880,0
5609,112,189786,3973,0
7136,251,409691,0,2532
5579,242,251638,132,796
7637,272,367234,19,0
5485,176,144226,519,0
5739,104,193330,2983,0
6949,249,370785,435,2040
5244,187,204054,968,723
7399,219,262896,94,2
5405,168,141211,1101,0
5407,99,139009,3468,27
6587,221,373467,1195,2331
5802,248,250524,483,0
7493,291,332436,1043,0
5893,161,209233,2689,0
6112,121,183772,6076,229
7571,199,317451,2296,3159
5487,234,162625,648,8
7801,285,236182,14,0
5919,181,176017,747,0
5626,131,192491,1706,0
7330,227,331175,326,2863
5097,259,166397,415,1
6894,278,264734,5,0
4825,178,190382,547,0
5203,116,247490,3029,0
6571,236,284368,32,2750
197,9,1674,141,720
307,10,11842,0,0
5311,275,182431,984,0
6964,224,334531,11,0
4529,193,202036,4,0
5583,136,193685,3799,0
6105,209,430027,1,2604
0,0,0,0,0
4904,232,116025,2297,0
6991,274,179068,104,0
4291,176,108045,162,0
5641,136,150487,2694,0
5943,173,308941,1,2583
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1144,32,29003,387,0
5758,252,157319,1935,705
0,0,0,0,0
6821,271,107088,0,5926
4557,117,81485,391,0
5651,129,151190,1519,766
7812,223,361387,3,4594
0,0,0,0,0
0,0,145852,0,0
0,0,546791,0,0
0,0,0,0,0
0,0,168101,0,0
0,0,532840,0,0
0,0,0,0,0
0,0,217226,0,0
0,0,541515,0,0
0,0,0,0,0
0,0,192123,0,0
0,0,536300,0,0
0,0,0,0,0
0,0,195676,0,0
0,0,636177,0,0
0,0,0,0,0
0,0,0,0,0
0,0,365429,0,0
0,0,0,0,0
0,0,549754,0,0
0,0,0,0,0
0,0,247930,0,0
0,0,491830,0,0
0,0,0,0,0
0,0,201502,0,0
0,0,230561,0,0
0,0,0,0,0
0,0,198180,0,0
0,0,211600,0,0
0,0,0,0,0
0,0,0,0,0
0,0,210782,0,0
0,0,177721,0,0
0,0,0,0,0
0,0,0,0,0
0,0,243829,0,0
0,0,211625,0,0
0,0,0,0,0
0,0,174333,0,0
0,0,167928,0,0
